ID,Title,Abstract,Year,Journal/Conference,Journal/Conf/BC/WP/Other,Embedding_Techniques,Embedding_Techniques(formatted),Category,Relation,Relation (Original or Varient/Enhancement),PDF Stored?,Number_Authors,List of Authors,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Affiliation_1,Affiliation_2,Affiliation_3,Affiliation_4,Affiliation_5,Affiliation_6,Affiliation_7,Affiliation_8,Affiliation_9,Affiliation_10,Affiliation_11,Affiliation_12,Country_1,Country_2,Country_3 ,Country_4,Country_5,Country_6,Country_7,Country_8,Country_9 ,Country_10,Country_11,Country_12,URL
salton1975vector,A Vector Space Model for Automatic Indexing,"In a document retrieval, or other pattern matching environment where stored entities (documents) are compared with each other or with incoming patterns (search requests), it appears that the best indexing (property) space is one where each entity lies as far away from the others as possible; in these circumstances the value of an indexing system may be expressible as a function of the density of the object space; in particular, retrieval performance may correlate inversely with space density. An approach based on space density computations is used to choose an optimum indexing vocabulary for a collection of documents. Typical evaluation results are shown, demonstating the usefulness of the model.",1975,Communications of the ACM,Journal Article,One hot encoding,One hot encoding,Statistical Representations,Original Research,Original Research,Yes,3,"Salton, Gerard and Wong, Anita and Yang, Chung-Shu","Salton, Gerard","Wong, Anita","Yang, Chung-Shu",NA,NA,NA,NA,NA,NA,NA,Cornell University,Cornell University,Cornell University,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
harris1954distributional,Distributional Structure,NA,1954,Word,Journal Article,Bag-of-Words,Bag-of-Words,Statistical Representations,Original Research,Original Research,Yes,1,"Harris, Zellig S","Harris, Zellig",NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.tandfonline.com/doi/pdf/10.1080/00437956.1954.11659520
sparck1972statistical,A Statistical Interpretation of Term Specificity and Its Application in Retrieval,"The exhaustivity of document descriptions and the specificity of index terms are usually regarded as independent. It is suggested that specificity should be interpreted statistically, as a function of term use rather than of term meaning. The effects on retrieval of variations in term specificity are examined, experiments with three test collections showing, in particular, that frequently‐occurring terms are required for good overall performance. It is argued that terms should be weighted according to collection frequency, so that matches on less frequent, more specific, terms are of greater value than matches on frequent terms. Results for the test collections show that considerable improvements in performance are obtained with this very simple procedure.",1972,Journal of documentation,Journal Article,TF-IDF,TF-IDF,Statistical Representations,Original Research,Original Research,Yes,1,"Sparck Jones, Karen","Jones, Karen",NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Cambridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.emerald.com/insight/content/doi/10.1108/00220410410560573/full/html
mikolov2013efficient,Efficient Estimation of Word Representations in Vector Space,"We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality of these representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks. We observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set. Furthermore, we show that these vectors provide state-of-the-art performance on our test set for measuring syntactic and semantic word similarities.",2013,arXiv preprint arXiv:1301.3781,Working Paper,word2vec,word2vec,Static Word Embeddings,Original Research,Original Research,Yes,4,"Mikolov, Tomas and Chen, Kai and Corrado, Greg and Dean, Jeffrey","Mikolov, Tomas","Chen, Kai","Corrado, Greg","Dean, Jeffrey",NA,NA,NA,NA,NA,NA,Google ,Google ,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1301.3781
pennington2014glove,GloVe: Global Vectors for Word Representation,"Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using vector arithmetic, but the origin of these regularities has remained opaque. We analyze and make explicit the model properties needed for such regularities to emerge in word vectors. The result is a new global log-bilinear regression model that combines the advantages of the two major model families in the literature: global matrix factorization and local context window methods. Our model efficiently leverages statistical information by training only on the nonzero elements in a word-word cooccurrence matrix, rather than on the entire sparse matrix or on individual context windows in a large corpus. The model produces a vector space with meaningful substructure, as evidenced by its performance of 75% on a recent word analogy task. It also outperforms related models on similarity tasks and named entity recognition.",2014,Proceedings of the 2014 conference on empirical methods in natural language processing (EMNLP),Conference,GloVe,GloVe,Static Word Embeddings,Original Research,Original Research,Yes,3,"Pennington, Jeffrey and Socher, Richard and Manning, Christopher D","Pennington, Jeffrey","Socher, Richard","Manning, Christopher",NA,NA,NA,NA,NA,NA,NA,Stanford University,Stanford University,Stanford University,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA ,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://aclanthology.org/D14-1162.pdf
bojanowski2017enriching,Enriching Word Vectors with Subword Information ,"Continuous word representations, trained on large unlabeled corpora are useful for many natural language processing tasks. Popular models that learn such representations ignore the morphology of words, by assigning a distinct vector to each word. This is a limitation, especially for languages with large vocabularies and many rare words. In this paper, we propose a new approach based on the skipgram model, where each word is represented as a bag of character n-grams. A vector representation is associated to each character n-gram; words being represented as the sum of these representations. Our method is fast, allowing to train models on large corpora quickly and allows us to compute word representations for words that did not appear in the training data. We evaluate our word representations on nine different languages, both on word similarity and analogy tasks. By comparing to recently proposed morphological word representations, we show that our vectors achieve state-of-the-art performance on these tasks.",2017,Transactions of the association for computational linguistics,Journal Article,FastText,FastText,Static Word Embeddings,Original Research,Original Research,Yes,4,"Bojanowski, Piotr and Grave, Edouard and Joulin, Armand and Mikolov, Tomas","Bojanowski, Piotr","Grave, Edouard","Joulin, Armand","Mikolov, Tomas",NA,NA,NA,NA,NA,NA,Facebook,Facebook,Facebook,Facebook,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://watermark.silverchair.com/tacl_a_00051.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA0MwggM_BgkqhkiG9w0BBwagggMwMIIDLAIBADCCAyUGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMNPRbkF7pVIvj07qcAgEQgIIC9tLDpwMatSjpRxK7waepJo2Q_EuErECxcFmZLyZZE1B-vyb9az8PfqwCxS002q-NjrbSCrvw4SEK8MldBkELbgF7zJRcvfxp8e93HkwamuwwNGQYKuqGGfuQVwfra5TtbrdLsAhiMibNo21G5hVVQ0nGbqWoHFVXHurdr-_o54Mne14i6QpXTkoC3bbEBuW10XxRGkyYJSOZOLiDjlShy0kIArbVA39KebaawK8wmQAEqXx6gibktPcho12rzp9lsw1jue7aTpd2S2MfW4Jfq3TOqrTnqzm6tiTXy4vDUEuwtf9qvPjr_RLe2vB3p5OxB8eY15H5mCqc9ysByTpIgovWHDvnjsaIf1yLhZ11IQcbIhtvT6xyavPTKGLDSW8_gEBDA4VoiDLwYn0fQ7cagngvrEF8iRakbcCaKMcSj1p5mhwFfq8wMaWfpIsqD_4FBB6-R46USVletp9aLWnlrL0VJKo7FuzqeLMtRBNOE9wrTjWdOZ8QznpcglaS9VYrjhR4ZxbTUcYGDacP2imcB3lk7YtwXB6MPu2CmjbGVhyZAvEQiN4PDEMlcn9Gt0_6hq1IN1RGK1UYYuKVHcn89F179rJDc-fFY-vAbzTO3PEQu33ioNazqgrstvUpSi0CuQI8DfD0VMxxJoXpqlNY2JEpjW5jhz2hphwclgVpmfrG3luzbLDNfbnha9_1J3OusxqeFA1LzTdwQg6OrsLmFNP64LeBc91JfgfWl_007dcpLUMzvYAzswoF_XHQYAUsebLEEKWnYi4QnkRjcYmFRpZ-GR5i76YjL-qABkqNwdlsMqEHu8Ohyd2fsU5okbYGpdCeX44PMJ0AtQwNKICUabcUwKKHq68J5of1Ys3m2-AtGfcKLyv_C_NDVWA59eB5ziqwShfFnejaSq5FTzAV3UYEYbdfe5IR1Xm-o4iu3BupcQR3QHGwMw77HiJ5o1og7jheEhXqUBhmMdg5kFeMjI-Rmw8TMaLl3YbLrhwdAivSf_qi5cUN
peters2018deep,Deep Contextualized Word Representations,"We introduce a new type of deep contextualized word representation that models both (1) complex characteristics of word use (e.g., syntax and semantics), and (2) how these uses vary across linguistic contexts (i.e., to model polysemy). Our word vectors are learned functions of the internal states of a deep bidirectional language model (biLM), which is pretrained on a large text corpus. We show that these representations can be easily added to existing models and significantly improve the state of the art across six challenging NLP problems, including question answering, textual entailment and sentiment analysis. We also present an analysis showing that exposing the deep internals of the pre-trained network is crucial, allowing downstream models to mix different types of semi-supervision signals.",2018,NAACL 2018,Conference,ELMo (BiLSTM + Attention),ELMo,Contextual Word Embeddings,Original Research,Original Research,Yes,7,"Peters, Matthew E. and Neumann, Mark and Iyyer, Mohit  and Gardner, Matt and Clark, Christopher and Lee, Kenton and Zettlemoyer, Luke","Peters, Matthew","Neumann, Mark","Iyyer, Mohit","Gardner, Matt",NA,"Lee, Kenton","Zettlemoyer, Luke",NA,NA,NA,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,University of Washington,University of Washington,University of Washington,NA,NA,NA,NA,NA,USA,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1802.05365v2
devlin2019bert,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent language representation models (Peters et al., 2018a; Radford et al., 2018), BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications. BERT is conceptually simple and empirically powerful. It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5 (7.7 point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement).",2019,"Proceedings of the 2019 conference of the North American chapter of the association for computational linguistics: human language technologies, volume 1 (long and short papers)",Conference,"BERT (Encoder-only Transformer, Attention-based)",BERT,Contextual Word Embeddings,Attention-based using Encoder-based Word Embedding,Varient/Enhancement,Yes,4,"Devlin, Jacob and Chang, Ming-Wei and Lee, Kenton and Toutanova, Kristina","Devlin, Jacob","Chang, Ming-Wei","Lee, Kenton","Toutanova, Kristina",NA,NA,NA,NA,NA,NA,Google ,Google ,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://aclanthology.org/N19-1423.pdf
pires2019multilingual,How multilingual is Multilingual BERT?,"In this paper, we show that Multilingual BERT (M-BERT), released by Devlin et al. (2018) as a single language model pre-trained from monolingual corpora in 104 languages, is surprisingly good at zero-shot cross-lingual model transfer, in which task-specific annotations in one language are used to fine-tune the model for evaluation in another language. To understand why, we present a large number of probing experiments, showing that transfer is possible even to languages in different scripts, that transfer works best between typologically similar languages, that monolingual corpora can train models for code-switching, and that the model can find translation pairs. From these results, we can conclude that M-BERT does create multilingual representations, but that these representations exhibit systematic deficiencies affecting certain language pairs.",2019,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,Conference,"BERT (Encoder-only Transformer, Attention-based)",BERT ,Contextual Word Embeddings,Varient of BERT,Varient/Enhancement,Yes,3,"Pires, Telmo and Schlinger, Eva and Garrette, Dan","Pires, Telmo","Schlinger, Eva","Garrette, Dan",NA,NA,NA,NA,NA,NA,NA,Google ,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1906.01502
radford2018improving,Improving Language Understanding by Generative Pre-Training,"Natural language understanding comprises a wide range of diverse tasks such as textual entailment, question answering, semantic similarity assessment, and document classification. Although large unlabeled text corpora are abundant, labeled data for learning these specific tasks is scarce, making it challenging for discriminatively trained models to perform adequately. We demonstrate that large gains on these tasks can be realized by generative pre-training of a language model on a diverse corpus of unlabeled text, followed by discriminative fine-tuning on each specific task. In contrast to previous approaches, we make use of task-aware input transformations during fine-tuning to achieve effective transfer while requiring minimal changes to the model architecture. We demonstrate the effectiveness of our approach on a wide range of benchmarks for natural language understanding. Our general task-agnostic model outperforms discriminatively trained models that use architectures specifically crafted for each task, significantly improving upon the state of the art in 9 out of the 12 tasks studied. For instance, we achieve absolute improvements of 8.9% on commonsense reasoning (Stories Cloze Test), 5.7% on question answering (RACE), and 1.5% on textual entailment (MultiNLI).",2018,NA,NA,"GPT (Decoder-only Transformer, Attention-based)",GPT,Contextual Word Embeddings,Attention-based using Decoder-only Transformer,Varient/Enhancement,Yes,4,"Radford, Alec and Narasimhan, Karthik and Salimans, Tim and Sutskever, Ilya and others","Radford, Alec","Narasimhan, Karthik","Salimans, Tim","Sutskever, Ilya",NA,NA,NA,NA,NA,NA,OpenAI,OpenAI,OpenAI,OpenAI,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mikecaptain.com/resources/pdf/GPT-1.pdf
